,Country,Continent
0,Algeria,Africa
1,Democratic Republic of the Congo,Africa
2,Sudan,Africa
3,Libya,Africa
4,Chad,Africa
5,Niger,Africa
6,Angola,Africa
7,Mali,Africa
8,South Africa,Africa
9,Ethiopia,Africa
10,Mauritania,Africa
11,Egypt,Africa
12,Tanzania,Africa
13,Nigeria,Africa
14,Namibia,Africa
15,Mozambique,Africa
16,Zambia,Africa
17,Morocco,Africa
18,South Sudan,Africa
19,Somalia,Africa
20,Central African Republic,Africa
21,Madagascar,Africa
22,Botswana,Africa
23,Kenya,Africa
24,Cameroon,Africa
25,Zimbabwe,Africa
26,Republic of the Congo,Africa
27,Ivory Coast ,Africa
28,Burkina Faso,Africa
29,Gabon,Africa
30,Guinea,Africa
31,Ghana,Africa
32,Uganda,Africa
33,Senegal,Africa
34,Tunisia,Africa
35,Malawi,Africa
36,Eritrea,Africa
37,Benin,Africa
38,Liberia,Africa
39,Sierra Leone,Africa
40,Togo,Africa
41,Guinea-Bissau,Africa
42,Lesotho,Africa
43,Equatorial Guinea,Africa
44,Burundi,Africa
45,Rwanda,Africa
46,Djibouti,Africa
47,Eswatini ,Africa
48,"Gambia, The",Africa
49,Cape Verde,Africa
50,Comoros,Africa
51,Mauritius,Africa
52,São Tomé and Príncipe,Africa
53,Seychelles,Africa
54,Country,North America
55,United States,North America
56,Canada,North America
57,The Bahamas,North America
58,Aruba,North America
59,Barbados,North America
60,Saint Kitts and Nevis,North America
61,Antigua and Barbuda,North America
62,Trinidad and Tobago,North America
63,Panama,North America
64,Costa Rica,North America
65,Grenada,North America
66,Saint Lucia,North America
67,Mexico,North America
68,Dominica,North America
69,Cuba ,North America
70,Dominican Republic,North America
71,Saint Vincent and the Grenadines,North America
72,Jamaica,North America
73,Belize,North America
74,Guatemala,North America
75,El Salvador,North America
76,Honduras,North America
77,Nicaragua,North America
78,Haiti,North America
79,Brazil,South America
80,Colombia,South America
81,Argentina,South America
82,Peru,South America
83,Venezuela,South America
84,Chile,South America
85,Ecuador,South America
86,Bolivia,South America
87,Paraguay,South America
88,Uruguay,South America
89,Guyana,South America
90,Suriname,South America
91,French Guiana ,South America
92,Falkland Islands ,South America
93,",,",South America
94,Russia,Europe
95,Ukraine,Europe
96,France,Europe
97,Spain,Europe
98,Sweden,Europe
99,Norway,Europe
100,Germany,Europe
101,Finland,Europe
102,Poland,Europe
103,Italy,Europe
104,United Kingdom,Europe
105,Romania,Europe
106,Belarus,Europe
107,Kazakhstan,Europe
108,Greece,Europe
109,Bulgaria,Europe
110,Iceland,Europe
111,Hungary,Europe
112,Portugal,Europe
113,Austria,Europe
114,Czech Republic,Europe
115,Serbia,Europe
116,Ireland,Europe
117,Lithuania,Europe
118,Latvia,Europe
119,Croatia,Europe
120,Bosnia and Herzegovina,Europe
121,Slovakia,Europe
122,Estonia,Europe
123,Denmark,Europe
124,Switzerland,Europe
125,Netherlands,Europe
126,Moldova,Europe
127,Belgium,Europe
128,Albania,Europe
129,North Macedonia,Europe
130,Turkey,Europe
131,Slovenia,Europe
132,Montenegro,Europe
133,Kosovo,Europe
134,Cyprus,Europe
135,Azerbaijan,Europe
136,Luxembourg,Europe
137,Georgia,Europe
138,Andorra,Europe
139,Malta,Europe
140,Liechtenstein,Europe
141,San Marino,Europe
142,Monaco,Europe
143,Vatican City,Europe
144,Total,Europe
145,Australia,Oceania
146,Papua New Guinea,Oceania
147,New Zealand,Oceania
148,Fiji,Oceania
149,Solomon Islands,Oceania
150,Vanuatu,Oceania
151,New Caledonia ,Oceania
152,French Polynesia ,Oceania
153,Samoa,Oceania
154,Guam ,Oceania
155,Kiribati,Oceania
156,Federated States of Micronesia,Oceania
157,Tonga,Oceania
158,American Samoa ,Oceania
159,Northern Mariana Islands ,Oceania
160,Marshall Islands,Oceania
161,Palau,Oceania
162,Cook Islands ,Oceania
163,Wallis and Futuna ,Oceania
164,Tuvalu,Oceania
165,Nauru,Oceania
166,Norfolk Island ,Oceania
167,Niue ,Oceania
168,Tokelau ,Oceania
169,Pitcairn Islands ,Oceania
170,China,Asia
171,Japan,Asia
172,India,Asia
173,South Korea,Asia
174,Indonesia,Asia
175,Taiwan ,Asia
176,Thailand,Asia
177,Hong Kong ,Asia
178,Malaysia,Asia
179,Singapore,Asia
180,Philippines,Asia
181,Bangladesh,Asia
182,Pakistan,Asia
183,Vietnam,Asia
184,Sri Lanka,Asia
185,Myanmar,Asia
186,Macau ,Asia
187,Nepal,Asia
188,Cambodia,Asia
189,Laos,Asia
190,Mongolia,Asia
191,Brunei,Asia
192,Maldives,Asia
193,Timor-Leste,Asia
194,Bhutan,Asia
195,Micronesia,Asia
196,Iran,Asia
197,Iraq,Asia
198,Saudi Arabia,Asia
199,Yemen,Asia
200,Syria,Asia
201,Jordan,Asia
202,United Arab Emirates,Asia
203,Israel,Asia
204,Lebanon,Asia
205,Palestine ,Asia
206,Oman,Asia
207,Kuwait,Asia
208,Qatar,Asia
209,Bahrain,Asia
