Date,Africa,Asia,Europe,Hawaii*,Japan*,North America,Oceania,Oklahoma,South America
2019-09-06 21:18:53.349374,149,330,63,1096,525,366,698,563.0,579
2019-09-06 21:26:08.604121,149,330,63,1096,525,366,698,520.0,579
2019-09-06 21:40:52.898861,149,330,63,1096,525,366,698,551.0,579
2019-09-08 09:52:53.051645,195,128,58,1160,728,477,745,544.0,584
2019-09-09 12:33:22.396911,170,146,64,1441,844,364,697,551.0,624
2019-09-09 17:31:59.685267,162,144,62,1197,547,364,618,552.0,624
2019-09-10 09:36:00.039766,159,128,62,1306,618,485,733,531.0,624
2019-09-10 17:09:53.544494,253,162,65,1197,618,368,691,560.0,598
2019-09-10 21:09:37.573083,253,133,65,1197,496,368,691,560.0,598
2019-09-11 10:29:23.825930,253,154,65,1059,631,396,691,567.0,628
2019-09-11 21:31:41.159486,170,128,65,1059,529,311,698,282.0,593
2019-09-11 22:20:12.757514,170,128,65,1059,529,304,698,282.0,593
2019-09-12 09:09:22.146991,170,128,65,1059,529,312,698,557.0,666
2019-09-12 11:47:40.541389,170,128,65,1059,558,311,697,539.0,666
2019-09-12 14:45:01.674894,170,329,65,1059,558,311,697,529.0,666
2019-09-13 18:44:08.345119,161,133,61,1059,517,282,697,523.0,584
2019-09-14 07:50:12.079461,161,128,61,1324,517,309,805,525.0,628
2019-09-14 08:57:42.802206,161,128,61,1324,517,309,805,519.0,628
2019-09-14 14:58:59.527522,193,133,61,1196,642,296,700,525.0,598
2019-09-15 10:26:40.968860,165,145,63,1326,541,315,800,519.0,598
2019-09-15 22:31:52.069036,165,125,61,1054,541,309,703,525.0,598
2019-09-16 09:49:09.023443,165,125,66,1326,566,301,681,519.0,619
2019-09-16 12:14:03.513101,165,125,66,1326,566,301,681,,598
2019-09-16 20:25:28.076240,162,137,66,1196,546,311,572,,598
